station_id,station_name,series_ticker,event_ticker,market_date,winning_ticker,yes_sub_title,no_sub_title,result,close_time,volume_fp
KDEN,Denver International,KXHIGHDEN,KXHIGHDEN-26APR05,2026-04-05,KXHIGHDEN-26APR05-B66.5,66° to 67°,66° to 67°,yes,2026-04-06T06:59:00Z,22477.00
KDFW,Dallas Fort Worth,KXHIGHTDAL,KXHIGHTDAL-26APR05,2026-04-05,KXHIGHTDAL-26APR05-B70.5,70° to 71°,70° to 71°,yes,2026-04-06T06:00:00Z,11821.00
KHOU,Houston Hobby,KXHIGHTHOU,KXHIGHTHOU-26APR05,2026-04-05,KXHIGHTHOU-26APR05-B67.5,67° to 68°,67° to 68°,yes,2026-04-06T06:00:00Z,9146.00
KLAS,Las Vegas Reid International,KXHIGHTLV,KXHIGHTLV-26APR05,2026-04-05,KXHIGHTLV-26APR05-B83.5,83° to 84°,83° to 84°,yes,2026-04-06T08:00:00Z,21932.00
KLAX,Los Angeles International,KXHIGHLAX,KXHIGHLAX-26APR05,2026-04-05,KXHIGHLAX-26APR05-B78.5,78° to 79°,78° to 79°,yes,2026-04-06T07:59:00Z,92483.00
KMIA,Miami International,KXHIGHMIA,KXHIGHMIA-26APR05,2026-04-05,KXHIGHMIA-26APR05-B83.5,83° to 84°,83° to 84°,yes,2026-04-06T04:59:00Z,44708.00
KMSP,Minneapolis St Paul,KXHIGHTMIN,KXHIGHTMIN-26APR05,2026-04-05,KXHIGHTMIN-26APR05-B52.5,52° to 53°,52° to 53°,yes,2026-04-06T06:00:00Z,10649.00
KMSY,New Orleans Armstrong,KXHIGHTNOLA,KXHIGHTNOLA-26APR05,2026-04-05,KXHIGHTNOLA-26APR05-B72.5,72° to 73°,72° to 73°,yes,2026-04-06T06:00:00Z,3582.00
KNYC,New York Central Park,KXHIGHNY,KXHIGHNY-26APR05,2026-04-05,KXHIGHNY-26APR05-T60,59° or below,59° or below,yes,2026-04-06T04:59:00Z,65418.00
KOKC,Oklahoma City Will Rogers,KXHIGHTOKC,KXHIGHTOKC-26APR05,2026-04-05,KXHIGHTOKC-26APR05-B69.5,69° to 70°,69° to 70°,yes,2026-04-06T06:00:00Z,8035.00
KORD,Chicago OHare,KXHIGHCHI,KXHIGHCHI-26APR05,2026-04-05,KXHIGHCHI-26APR05-B52.5,52° to 53°,52° to 53°,yes,2026-04-06T05:59:00Z,30648.00
KPHL,Philadelphia International,KXHIGHPHIL,KXHIGHPHIL-26APR05,2026-04-05,KXHIGHPHIL-26APR05-B73.5,73° to 74°,73° to 74°,yes,2026-04-06T04:59:00Z,12364.00
KPHX,Phoenix Sky Harbor,KXHIGHTPHX,KXHIGHTPHX-26APR05,2026-04-05,KXHIGHTPHX-26APR05-B96.5,96° to 97°,96° to 97°,yes,2026-04-06T07:00:00Z,14853.00
KSAT,San Antonio International,KXHIGHTSATX,KXHIGHTSATX-26APR05,2026-04-05,KXHIGHTSATX-26APR05-B66.5,66° to 67°,66° to 67°,yes,2026-04-06T06:00:00Z,5831.00
KSEA,Seattle Tacoma,KXHIGHTSEA,KXHIGHTSEA-26APR05,2026-04-05,KXHIGHTSEA-26APR05-B67.5,67° to 68°,67° to 68°,yes,2026-04-06T08:00:00Z,8536.00
KSFO,San Francisco International,KXHIGHTSFO,KXHIGHTSFO-26APR05,2026-04-05,KXHIGHTSFO-26APR05-T79,80° or above,80° or above,yes,2026-04-06T08:00:00Z,25297.00
KATL,Atlanta Hartsfield,KXHIGHTATL,KXHIGHTATL-26APR06,2026-04-06,KXHIGHTATL-26APR06-B67.5,67° to 68°,67° to 68°,yes,2026-04-07T05:00:00Z,10210.00
KAUS,Austin Bergstrom,KXHIGHAUS,KXHIGHAUS-26APR06,2026-04-06,KXHIGHAUS-26APR06-B74.5,74° to 75°,74° to 75°,yes,2026-04-07T05:59:00Z,32187.00
KDCA,Washington Reagan National,KXHIGHTDC,KXHIGHTDC-26APR06,2026-04-06,KXHIGHTDC-26APR06-B62.5,62° to 63°,62° to 63°,yes,2026-04-07T05:00:00Z,7815.00
KDEN,Denver International,KXHIGHDEN,KXHIGHDEN-26APR06,2026-04-06,KXHIGHDEN-26APR06-B65.5,65° to 66°,65° to 66°,yes,2026-04-07T06:59:00Z,15866.00
KDFW,Dallas Fort Worth,KXHIGHTDAL,KXHIGHTDAL-26APR06,2026-04-06,KXHIGHTDAL-26APR06-B74.5,74° to 75°,74° to 75°,yes,2026-04-07T06:00:00Z,7982.00
