station_id,station_name,forecast_issued_utc,forecast_for_date,forecast_high_f,n_hours_in_forecast,forecast_issued_local
KNYC,New York Central Park,2026-04-12 08:48 UTC,2026-04-13,76,24,2026-04-12 04:48 EDT
KNYC,New York Central Park,2026-04-12 10:38 UTC,2026-04-13,76,24,2026-04-12 06:38 EDT
KNYC,New York Central Park,2026-04-12 13:01 UTC,2026-04-13,76,24,2026-04-12 09:01 EDT
KNYC,New York Central Park,2026-04-12 14:40 UTC,2026-04-13,76,24,2026-04-12 10:40 EDT
KNYC,New York Central Park,2026-04-12 16:39 UTC,2026-04-13,76,24,2026-04-12 12:39 EDT
KNYC,New York Central Park,2026-04-12 18:50 UTC,2026-04-13,76,24,2026-04-12 14:50 EDT
KNYC,New York Central Park,2026-04-12 20:36 UTC,2026-04-13,76,24,2026-04-12 16:36 EDT
KNYC,New York Central Park,2026-04-12 22:34 UTC,2026-04-13,76,24,2026-04-12 18:34 EDT
KNYC,New York Central Park,2026-04-13 06:23 UTC,2026-04-14,77,24,2026-04-13 02:23 EDT
KNYC,New York Central Park,2026-04-13 09:55 UTC,2026-04-14,77,24,2026-04-13 05:55 EDT
KNYC,New York Central Park,2026-04-13 13:26 UTC,2026-04-14,77,24,2026-04-13 09:26 EDT
KNYC,New York Central Park,2026-04-13 15:16 UTC,2026-04-14,77,24,2026-04-13 11:16 EDT
KNYC,New York Central Park,2026-04-13 17:10 UTC,2026-04-14,77,24,2026-04-13 13:10 EDT
KNYC,New York Central Park,2026-04-13 19:16 UTC,2026-04-14,77,24,2026-04-13 15:16 EDT
KNYC,New York Central Park,2026-04-13 21:00 UTC,2026-04-14,79,24,2026-04-13 17:00 EDT
KNYC,New York Central Park,2026-04-13 22:43 UTC,2026-04-14,79,24,2026-04-13 18:43 EDT
KNYC,New York Central Park,2026-04-14 06:02 UTC,2026-04-15,82,24,2026-04-14 02:02 EDT
KNYC,New York Central Park,2026-04-14 08:01 UTC,2026-04-15,81,24,2026-04-14 04:01 EDT
KNYC,New York Central Park,2026-04-14 15:14 UTC,2026-04-15,81,24,2026-04-14 11:14 EDT
