station_id,station_name,date,observed_high_f
KSAT,San Antonio International,2025-05-22,99
KSAT,San Antonio International,2025-05-23,95
KSAT,San Antonio International,2025-05-24,99
KSAT,San Antonio International,2025-05-25,98
KSAT,San Antonio International,2025-05-26,95
KSAT,San Antonio International,2025-05-27,88
KSAT,San Antonio International,2025-05-28,86
KSAT,San Antonio International,2025-05-29,89
KSAT,San Antonio International,2025-05-30,85
KSAT,San Antonio International,2025-05-31,87
KSAT,San Antonio International,2025-06-01,94
KSAT,San Antonio International,2025-06-02,93
KSAT,San Antonio International,2025-06-03,93
KSAT,San Antonio International,2025-06-04,92
KSAT,San Antonio International,2025-06-05,94
KSAT,San Antonio International,2025-06-06,95
KSAT,San Antonio International,2025-06-07,96
KSAT,San Antonio International,2025-06-08,96
KSAT,San Antonio International,2025-06-09,98
KSAT,San Antonio International,2025-06-10,94
KSAT,San Antonio International,2025-06-11,88
KSAT,San Antonio International,2025-06-12,79
KSAT,San Antonio International,2025-06-13,92
KSAT,San Antonio International,2025-06-14,92
KSAT,San Antonio International,2025-06-15,94
KSAT,San Antonio International,2025-06-16,91
KSAT,San Antonio International,2025-06-17,93
KSAT,San Antonio International,2025-06-18,92
KSAT,San Antonio International,2025-06-19,93
KSAT,San Antonio International,2025-06-20,93
KSAT,San Antonio International,2025-06-21,91
KSAT,San Antonio International,2025-06-22,93
KSAT,San Antonio International,2025-06-23,93
KSAT,San Antonio International,2025-06-24,94
KSAT,San Antonio International,2025-06-25,94
KSAT,San Antonio International,2025-06-26,94
KSAT,San Antonio International,2025-06-27,94
KSAT,San Antonio International,2025-06-28,94
KSAT,San Antonio International,2025-06-29,94
KSAT,San Antonio International,2025-06-30,93
KSAT,San Antonio International,2025-07-01,89
KSAT,San Antonio International,2025-07-02,89
KSAT,San Antonio International,2025-07-03,91
KSAT,San Antonio International,2025-07-04,81
KSAT,San Antonio International,2025-07-05,79
KSAT,San Antonio International,2025-07-06,90
KSAT,San Antonio International,2025-07-07,92
KSAT,San Antonio International,2025-07-08,93
KSAT,San Antonio International,2025-07-09,93
KSAT,San Antonio International,2025-07-10,95
KSAT,San Antonio International,2025-07-11,92
KSAT,San Antonio International,2025-07-12,95
KSAT,San Antonio International,2025-07-13,90
KSAT,San Antonio International,2025-07-14,90
KSAT,San Antonio International,2025-07-15,96
KSAT,San Antonio International,2025-07-16,97
KSAT,San Antonio International,2025-07-17,98
KSAT,San Antonio International,2025-07-18,97
KSAT,San Antonio International,2025-07-19,97
KSAT,San Antonio International,2025-07-20,89
KSAT,San Antonio International,2025-07-21,96
KSAT,San Antonio International,2025-07-22,99
KSAT,San Antonio International,2025-07-23,99
KSAT,San Antonio International,2025-07-24,100
KSAT,San Antonio International,2025-07-25,94
KSAT,San Antonio International,2025-07-26,96
KSAT,San Antonio International,2025-07-27,94
KSAT,San Antonio International,2025-07-28,97
KSAT,San Antonio International,2025-07-29,99
KSAT,San Antonio International,2025-07-30,100
KSAT,San Antonio International,2025-07-31,101
KSAT,San Antonio International,2025-08-01,101
KSAT,San Antonio International,2025-08-02,101
KSAT,San Antonio International,2025-08-03,100
KSAT,San Antonio International,2025-08-04,93
KSAT,San Antonio International,2025-08-05,98
KSAT,San Antonio International,2025-08-06,99
KSAT,San Antonio International,2025-08-07,99
KSAT,San Antonio International,2025-08-08,100
KSAT,San Antonio International,2025-08-09,100
KSAT,San Antonio International,2025-08-10,99
KSAT,San Antonio International,2025-08-11,99
KSAT,San Antonio International,2025-08-12,101
KSAT,San Antonio International,2025-08-13,100
KSAT,San Antonio International,2025-08-14,102
KSAT,San Antonio International,2025-08-15,97
